company,ticker,year,quarter,filename,filepath
AXP,AXP,2019,3,2019_Q3_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2019_Q3_axp_processed.txt
AXP,AXP,2019,4,2019_Q4_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2019_Q4_axp_processed.txt
AXP,AXP,2020,1,2020_Q1_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2020_Q1_axp_processed.txt
AXP,AXP,2020,2,2020_Q2_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2020_Q2_axp_processed.txt
AXP,AXP,2020,3,2020_Q3_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2020_Q3_axp_processed.txt
AXP,AXP,2020,4,2020_Q4_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2020_Q4_axp_processed.txt
AXP,AXP,2021,1,2021_Q1_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2021_Q1_axp_processed.txt
AXP,AXP,2021,2,2021_Q2_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2021_Q2_axp_processed.txt
AXP,AXP,2021,3,2021_Q3_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2021_Q3_axp_processed.txt
AXP,AXP,2021,4,2021_Q4_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2021_Q4_axp_processed.txt
AXP,AXP,2022,1,2022_Q1_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2022_Q1_axp_processed.txt
AXP,AXP,2022,2,2022_Q2_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2022_Q2_axp_processed.txt
AXP,AXP,2022,3,2022_Q3_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2022_Q3_axp_processed.txt
AXP,AXP,2022,4,2022_Q4_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2022_Q4_axp_processed.txt
AXP,AXP,2023,1,2023_Q1_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2023_Q1_axp_processed.txt
AXP,AXP,2023,2,2023_Q2_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2023_Q2_axp_processed.txt
AXP,AXP,2023,3,2023_Q3_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2023_Q3_axp_processed.txt
AXP,AXP,2023,4,2023_Q4_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2023_Q4_axp_processed.txt
AXP,AXP,2024,1,2024_Q1_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2024_Q1_axp_processed.txt
AXP,AXP,2024,2,2024_Q2_axp_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/AXP/2024_Q2_axp_processed.txt
Accenture,ACN,2018,1,2018_Q1_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2018_Q1_acn_processed.txt
Accenture,ACN,2018,2,2018_Q2_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2018_Q2_acn_processed.txt
Accenture,ACN,2018,3,2018_Q3_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2018_Q3_acn_processed.txt
Accenture,ACN,2018,4,2018_Q4_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2018_Q4_acn_processed.txt
Accenture,ACN,2019,1,2019_Q1_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2019_Q1_acn_processed.txt
Accenture,ACN,2019,2,2019_Q2_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2019_Q2_acn_processed.txt
Accenture,ACN,2019,3,2019_Q3_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2019_Q3_acn_processed.txt
Accenture,ACN,2019,4,2019_Q4_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2019_Q4_acn_processed.txt
Accenture,ACN,2020,1,2020_Q1_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2020_Q1_acn_processed.txt
Accenture,ACN,2020,2,2020_Q2_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2020_Q2_acn_processed.txt
Accenture,ACN,2020,3,2020_Q3_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2020_Q3_acn_processed.txt
Accenture,ACN,2020,4,2020_Q4_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2020_Q4_acn_processed.txt
Accenture,ACN,2021,1,2021_Q1_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2021_Q1_acn_processed.txt
Accenture,ACN,2021,2,2021_Q2_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2021_Q2_acn_processed.txt
Accenture,ACN,2021,3,2021_Q3_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2021_Q3_acn_processed.txt
Accenture,ACN,2021,4,2021_Q4_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2021_Q4_acn_processed.txt
Accenture,ACN,2022,1,2022_Q1_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2022_Q1_acn_processed.txt
Accenture,ACN,2022,2,2022_Q2_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2022_Q2_acn_processed.txt
Accenture,ACN,2022,3,2022_Q3_acn_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Accenture/2022_Q3_acn_processed.txt
